time (min),track_id,pos_x (micron),pos_y (micron),flux (mmol/gdw/h),flux_err (mmol/gdw/h),flux_low (mmol/gdw/h),flux_high (mmol/gdw/h)
9.44,1,60.29,5.93,2.83455,3,-0.565445,9.53455
9.44,3,180,8.08,0.182521,1.95,-2.21748,5.18252
9.44,0,262.21,11.43,4.49467,2.6,0.594671,10.2947
9.44,4,124.79,12.24,0.164879,2.3,-2.23512,6.06488
9.44,5,306.94,16.9,20.2054,2.95,15.3054,26.5054
9.44,Untracked,103.35,20.01,0.516575,2.65,-1.98342,7.51658
9.44,6,157.14,27.62,2.84042,2.25,0.840416,8.14042
9.44,7,245.84,34.03,0.217053,2.45,-2.98295,5.51705
9.44,10,11.66,43.02,2.0113,2.7,-1.8887,8.1113
9.44,8,145.43,43.63,1.95341,1.9,0.353406,6.95341
9.44,12,84.36,44.64,1.73332,2.4,-0.466679,7.53332
9.44,11,213.77,46.34,-1.60447,1.4,-3.40447,2.19553
9.44,13,108.78,47.92,-0.497795,2.1,-2.19779,4.90221
9.44,9,258.07,48.86,-1.46246,2.25,-4.76246,3.43754
9.44,14,64.57,53.12,-0.6632,2.45,-3.1632,4.9368
9.44,15,24.39,54.15,6.15753,2.45,2.65753,11.6575
9.44,17,245.23,55.24,3.24859,2.25,0.248592,8.24859
9.44,20,124.9,60.44,0.851788,1.6,-0.348212,5.35179
9.44,18,15.6,61.94,2.46677,2.2,-0.533232,7.96677
9.44,19,223.7,65.23,-0.685539,1.85,-2.98554,3.71446
9.44,21,319.78,73.39,8.53034,2.1,6.13034,13.7303
9.44,22,143.42,86.17,-2.10546,1.05,-2.50546,2.09454
9.44,24,20.14,89.73,-0.812462,1.15,-2.01246,2.78754
9.44,29,84.34,90.72,2.24601,2,0.546012,7.34601
9.44,25,253.57,92.25,2.32356,1.95,-0.176436,6.92356
9.44,23,340.82,96.92,-6.50024,1.45,-7.50024,-1.50024
9.44,34,81.87,108.45,0.756706,1.95,-0.943294,5.75671
9.44,26,127.66,111.22,-0.359495,1.2,-0.959495,4.04051
9.44,28,226.3,111.65,-0.871694,1.45,-2.17169,3.22831
9.44,32,112.44,117.38,-2.41005,1.45,-3.41005,2.08995
9.44,30,26.98,117.64,-5.87672,1.8,-7.77672,-0.776725
9.44,Untracked,70.04,117.63,-0.154461,2.25,-2.25446,5.84554
9.44,31,41.22,120.68,-1.37645,2.15,-4.17645,4.02355
9.44,Untracked,438.96,120.61,1.87922,2.8,-2.42078,8.67922
9.44,33,199.83,122.2,-1.06578,1,-1.46578,2.93422
9.44,37,100.23,129.35,-0.683383,1.15,-1.68338,3.31662
9.44,36,137.87,129.25,-2.68503,1.3,-3.48503,1.61497
9.44,38,163.31,134.82,-0.68414,1.15,-1.58414,3.11586
9.44,41,19.95,140.01,3.88916,2.1,0.889159,9.18916
9.44,39,250.3,144.25,-7.47403,1.6,-9.47403,-3.57403
9.44,42,225.24,144.78,0.355667,1.25,-0.744333,3.95567
9.44,40,263.05,145.35,1.89723,1.2,0.397226,5.19723
9.44,43,158.05,151.44,1.547,1.15,0.346997,5.047
9.44,44,86.14,152.58,-0.0194541,1.75,-2.01945,4.68055
9.44,47,28.93,154.62,0.720996,2.05,-2.179,5.721
9.44,45,210.09,155.26,2.19184,1.05,1.19184,5.39184
9.44,49,191.44,155.98,-1.61532,1.1,-2.51532,1.88468
9.44,52,109.48,157.82,0.992101,1.75,-0.807899,5.4921
9.44,48,351.41,157.81,1.49477,2.3,-2.50523,6.29477
9.44,51,332.8,160.81,-0.0611846,2.15,-3.76118,4.53882
9.44,46,240.84,161.04,1.14572,1.5,-0.654284,4.94572
9.44,56,129.81,162.38,-0.302974,1.7,-2.00297,3.89703
9.44,55,217.63,163.04,-0.101325,1,-1.00132,2.99868
9.44,53,42.58,164.89,0.451449,2.3,-2.84855,5.75145
9.44,Untracked,76.46,166.48,0.560787,2.3,-2.03921,6.46079
9.44,54,263.32,168.82,2.71594,1.4,0.815936,6.21594
9.44,61,37.35,180.37,1.59735,2.15,-1.30265,6.69735
9.44,Untracked,188.66,181.7,-1.56487,1.5,-3.36487,2.43513
9.44,59,22.28,182.09,-5.85649,1.6,-7.35649,-0.95649
9.44,63,65.95,183.41,-0.713251,2.25,-3.81325,4.38675
9.44,57,250.22,184.62,-7.68654,1.7,-10.2865,-3.68654
9.44,58,201.36,185.02,-3.65609,1.55,-5.55609,0.143905
9.44,62,140.33,186.19,0.419317,1.3,-1.18068,4.01932
9.44,Untracked,148.21,186.11,-0.14035,1.2,-1.44035,3.35965
9.44,67,210.73,198.01,0.903775,1.65,-1.49623,4.90377
9.44,65,9.23,198.37,9.23043,2.5,5.63043,14.7304
9.44,68,288.42,202.82,-3.56586,1.7,-6.46586,0.234138
9.44,66,223.84,203.6,3.88211,1.7,1.38211,7.78211
9.44,70,267.62,205.6,5.07807,1.6,2.57807,8.67807
9.44,69,105.8,208.07,-0.811345,1.75,-3.01135,3.68865
9.44,72,202.05,210.57,1.12789,1.7,-1.47211,5.12789
9.44,71,54.61,211.92,9.3855,2.1,6.7855,14.0855
9.44,73,122.72,219.29,3.60613,1.8,1.60613,8.10613
9.44,74,180.58,225.88,-0.491777,1.75,-2.79178,3.70822
9.44,75,96.17,226.16,-12.5544,2,-14.7544,-7.55443
9.44,76,336.57,233.59,2.11061,2.1,-1.48939,6.71061
9.44,79,260.71,233.84,0.703077,1.4,-1.19692,4.10308
9.44,80,110.69,235.85,-2.29991,1.9,-3.99991,2.70009
9.44,78,313.15,237.71,0.284724,1.65,-2.01528,4.28472
9.44,81,7.46,238.97,7.50442,3.1,3.60442,13.8044
9.44,77,368.65,240.43,8.14566,2.45,3.84566,13.3457
9.44,82,192.05,242.9,0.475709,1.75,-1.52429,4.77571
9.44,83,66.96,243.18,1.55817,2.35,-1.24183,6.95817
9.44,84,147.34,247.58,1.88643,1.2,1.28643,6.28643
9.44,Untracked,208.45,251.11,2.2698,1.45,0.969798,6.6698
9.44,86,326.78,255.89,-5.1267,1.85,-8.1267,-0.826704
9.44,87,289.77,259.21,-0.21894,1.1,-1.81894,2.58106
9.44,89,219.06,260.26,-1.00532,1,-1.70532,2.59468
9.44,90,206,263.03,0.549481,1.4,-0.850519,4.54948
9.44,92,110.92,267.87,0.41372,1.85,-1.08628,5.61372
9.44,96,73.77,268.21,-0.0237185,2.15,-2.32372,5.57628
9.44,91,188.54,276.3,-1.73736,1.6,-3.13736,2.66264
9.44,93,295.67,277.78,-0.565493,1.1,-1.76549,2.33451
9.44,94,29.11,278.3,3.81005,2.9,0.71005,10.21
9.44,97,270.84,281.6,1.60906,0.9,0.509062,4.10906
9.44,95,157.24,282.3,-0.175489,1.35,-1.07549,4.32451
9.44,98,236.17,282.39,1.35275,1.2,0.252748,4.85275
9.44,101,248.94,282.87,-2.67739,1.2,-4.07739,0.622606
9.44,100,64.35,286.24,0.442965,2.3,-1.85703,6.24297
9.44,99,335.69,287.36,8.30597,1.8,5.50597,12.606
9.44,104,199.7,288.97,0.250462,1.6,-1.04954,4.55046
9.44,103,113.97,289.58,0.298737,1.8,-1.10126,5.39874
9.44,102,318.81,289.59,-3.91067,1.45,-6.01067,-0.210667
9.44,105,272.57,294.06,-1.25926,0.8,-2.05926,1.14074
9.44,Untracked,129.83,302.37,-1.06662,1.55,-1.96662,4.53338
9.44,109,286.23,305.12,-0.952293,0.75,-1.75229,1.14771
9.44,108,114.23,313.15,-1.45186,1.55,-2.55186,3.44814
9.44,110,140.22,314.13,-3.82378,1.25,-4.42378,0.676217
9.44,111,80.05,315.92,0.0398596,2.2,-1.76014,5.83986
9.44,112,383.71,323.27,-2.66858,2.5,-6.76858,3.03142
9.44,113,65.46,325.94,0.326437,2.45,-1.77356,6.42644
9.44,114,348.65,326.73,-1.46385,1.9,-3.96385,3.43615
9.44,116,20.31,328.12,1.33,3.05,-1.67,8.13
9.44,115,273.68,329.99,-2.33237,0.6,-2.83237,-0.13237
9.44,117,110.35,331.24,-1.79326,1.35,-2.89326,2.80674
9.44,118,215.56,333.21,1.22907,1.55,0.0290694,5.52907
9.44,119,49.28,336.51,0.605651,2.65,-1.79435,6.90565
9.44,Untracked,176.66,338.31,-1.5425,0.95,-2.0425,2.1575
9.44,120,161.8,340.84,-1.3558,0.8,-1.6558,2.0442
9.44,122,61.34,349.37,-0.389139,2.45,-2.58914,5.51086
9.44,123,126.88,350.45,1.15121,1.35,0.251212,5.65121
9.44,124,241.69,353.54,2.98424,1.65,1.08424,7.08424
9.44,126,189.82,355.24,-0.602524,1.1,-1.50252,2.79748
9.44,125,354.77,357.28,-0.143567,2.35,-3.74357,5.35643
9.44,128,425.8,357.66,-2.28574,3.15,-7.88574,4.11426
9.44,127,399.66,359.7,7.87599,2.75,3.07599,13.776
9.44,129,9.47,363.15,1.16056,3.1,-2.23944,8.06056
9.44,130,136.5,365.39,7.60184,1.5,6.60184,12.2018
9.44,132,181.89,367.43,-1.40381,1.1,-2.40381,1.89619
9.44,131,102.86,374.06,-2.58911,1.95,-4.18911,2.61089
9.44,135,395.99,386.05,1.26221,3,-3.83779,7.66221
9.44,133,28.68,386.85,-2.12479,1.95,-3.92479,3.67521
9.44,134,163.49,390.04,0.039995,1.7,-1.26001,4.73999
9.44,Untracked,123.91,396.31,2.37599,2.25,0.675995,8.97599
9.44,137,360.73,398.25,1.67557,2.85,-2.82443,7.97557
9.44,136,101.82,398.56,2.23383,2.3,0.233828,7.93383
9.44,138,148.53,400.03,0.0346962,1.95,-1.5653,5.2347
9.44,140,164.43,406.17,-0.79714,2.05,-2.49714,4.40286
9.44,142,22.89,408.84,-0.166258,2.2,-2.56626,5.83374
9.44,141,377.63,410.78,2.76508,3.1,-2.23492,9.66508
9.44,146,133.05,413.79,0.843647,2.3,-1.05635,6.74365
9.44,Untracked,95.63,414.25,1.36055,2.8,-0.939451,8.96055
9.44,144,177.34,416.93,2.2861,2.05,0.286096,7.0861
9.44,143,119.02,418.61,1.08263,2.45,-1.01737,7.18263
9.44,139,192.56,419.17,-1.39025,2.15,-3.49025,3.80975
9.44,147,429.57,422.31,5.94412,3.45,-0.155883,13.1441
9.44,151,305.86,424.78,-6.69554,2.7,-10.4955,-0.595543
9.44,149,214.81,425.22,2.16788,2.45,-0.232125,7.76788
9.44,153,316,429.74,1.14618,2.85,-2.85382,7.54618
9.44,158,97.38,429.93,-0.375906,2.8,-2.97591,6.22409
9.44,156,242.75,430.32,-2.1901,2.45,-4.9901,3.6099
9.44,152,62.91,430.78,-0.326847,2.5,-3.12685,6.37315
9.44,148,332.99,431.38,2.03774,3,-2.36226,8.63774
9.44,155,143.88,432.91,0.757302,2.55,-1.5427,6.8573
9.44,157,383.76,437.64,2.48559,3.4,-2.91441,9.78559
9.44,Untracked,412.43,437.72,-1.97084,4.4,-7.87084,8.32916
9.44,150,294.07,440.77,11.841,2.85,8.04098,18.241
9.44,Untracked,266.96,441.41,3.60031,2.9,0.200314,10.7003
18.89,1,61.16,5.79,3.11425,3.05,-2.68575,9.21425
18.89,3,180.67,6.67,0.166996,2.15,-3.233,4.967
18.89,4,124.22,9.1,2.39621,2.6,-2.40379,7.69621
18.89,0,262.43,12.24,5.42584,2.55,0.625836,10.7258
18.89,5,307.1,17.15,21.2168,2.85,15.5168,26.5168
18.89,Untracked,102.24,21.39,5.73763,3.6,0.337632,13.6376
18.89,6,156.94,26.37,3.0854,2.4,-1.3146,7.8854
18.89,7,247.73,32.05,0.530423,2.4,-3.96958,5.33042
18.89,12,84.41,40.56,2.13314,2.7,-2.66686,7.53314
18.89,8,146.33,41.61,1.7358,2.3,-1.9642,6.4358
18.89,10,10.67,42.83,1.91261,3,-3.68739,8.11261
18.89,11,213.9,44.86,-2.49708,1.5,-4.49708,1.30292
18.89,9,256.27,45.94,-2.61045,2.35,-6.81045,2.18955
18.89,13,109.69,47.34,-0.356348,2.45,-4.15635,4.44365
18.89,14,63.73,51.98,-0.471588,2.7,-5.37159,5.02841
18.89,15,23.71,53.76,5.68314,2.85,0.383138,11.3831
18.89,17,243.06,55.37,2.96251,2.2,-1.03749,7.26251
18.89,20,124.09,62.27,0.734308,1.95,-1.86569,4.83431
18.89,18,14.5,63.37,3.06591,2.65,-1.63409,8.56591
18.89,19,228.56,63.7,-2.01509,1.95,-5.31509,2.08491
18.89,21,319.17,73.2,8.38305,2.55,3.58305,13.3831
18.89,22,141.7,86.44,-2.72389,1.2,-3.72389,1.07611
18.89,24,21.26,90.4,-1.52575,1.85,-3.92575,3.27425
18.89,25,253.85,90.86,3.26066,1.9,0.0606641,7.06066
18.89,29,83.52,91.6,2.9172,2.3,-0.5828,7.7172
18.89,23,341.88,93.74,-4.79601,2.1,-7.69601,-0.396009
18.89,28,224.24,110.12,-1.89182,1.05,-2.89182,1.40818
18.89,26,129.24,110.71,-0.098278,1.15,-0.998278,3.70172
18.89,34,82.63,110.89,0.759936,2.25,-2.74006,5.55994
18.89,Untracked,68.43,113.85,1.09936,3,-3.30064,8.09936
18.89,32,117.04,115.34,-2.53847,1.65,-4.13847,1.56153
18.89,30,26.45,120.57,-6.12701,2.55,-10.527,-0.627011
18.89,Untracked,435.66,120.61,0.435999,2.55,-3.364,6.736
18.89,31,41.28,121.11,-1.20982,2.65,-6.00982,4.09018
18.89,33,193.39,124.71,-0.840146,0.75,-1.54015,1.65985
18.89,36,139.1,129.1,-3.03655,1.55,-4.73655,0.663454
18.89,37,100.08,129.66,-1.00007,1.55,-2.60007,3.29993
18.89,38,162.7,134.4,-1.11679,1.1,-2.21679,1.98321
18.89,41,18.8,138.13,4.50135,2.45,0.301353,9.80135
18.89,39,250.72,139.54,-7.64291,1.55,-10.3429,-4.24291
18.89,40,263.63,141.78,1.76155,1.3,-0.0384458,4.86155
18.89,42,225.41,143.42,0.0399291,1.05,-1.36007,2.83993
18.89,43,157.79,150.54,1.69511,1.15,0.295115,4.79511
18.89,44,84.75,151.27,-0.140755,2.15,-3.44076,4.55924
18.89,47,29.2,154.31,0.958894,2.3,-2.54111,6.15889
18.89,45,208.5,154.78,2.74294,1.05,1.44294,5.44294
18.89,48,350.75,155.7,1.02534,2.2,-2.87466,5.52534
18.89,52,110.02,156.12,0.918842,1.95,-2.28116,5.21884
18.89,49,191.11,158.25,-1.80734,1.1,-3.10734,1.19266
18.89,46,243.31,159.29,1.3231,1.5,-0.976905,4.6231
18.89,51,332.37,160.57,-0.0975402,2.1,-3.89754,4.30246
18.89,56,130.62,161.4,-0.158344,1.7,-2.85834,3.74166
18.89,55,218.51,163.47,0.505716,0.95,-0.494284,3.40572
18.89,53,43.53,163.73,0.492656,2.45,-3.60734,5.69266
18.89,Untracked,77.46,165.14,-0.638407,2.85,-4.03841,5.86159
18.89,54,262.29,167.74,2.71674,1.35,0.816738,5.81674
18.89,63,64.24,178.57,-1.3984,2.45,-4.7984,3.7016
18.89,61,36.8,180.15,0.864224,2.4,-2.53578,6.06422
18.89,58,205.06,180.62,-3.76282,1.45,-5.86282,-0.262822
18.89,Untracked,193.97,181.37,-3.84028,1.6,-6.14028,0.159724
18.89,59,22.49,181.75,-5.74189,1.75,-7.54189,-0.941888
18.89,57,249.69,182.08,-8.10034,1.6,-10.8003,-4.50034
18.89,62,138.39,187.18,0.706101,1.55,-1.4939,4.4061
18.89,65,7.41,196.78,8.69174,2.6,4.49174,14.0917
18.89,67,210.56,197.29,1.10283,1.65,-1.69717,4.70283
18.89,66,225.44,197.88,3.85866,1.65,1.15866,7.45866
18.89,68,288.56,201.28,-5.26804,1.25,-6.66804,-1.86804
18.89,70,267.5,206.44,4.3431,1.2,3.0431,7.5431
18.89,69,105.35,208.53,-0.788728,1.85,-2.68873,3.51127
18.89,72,199.57,209.56,1.07322,1.8,-1.22678,4.87322
18.89,71,58,210.7,6.8915,2.2,3.9915,11.5915
18.89,73,122.07,218.42,4.1202,1.55,2.7202,8.2202
18.89,74,180.73,224.42,0.301029,1.65,-1.29897,4.30103
18.89,75,95.79,226.3,-12.2631,2,-13.9631,-7.26313
18.89,76,335.45,233.65,2.12971,2.05,-1.57029,6.42971
18.89,80,110.49,234.75,-2.10321,1.6,-3.30321,2.39679
18.89,78,313.17,234.86,1.03846,1.6,-1.36154,4.83846
18.89,79,260.6,235.02,0.892201,1.45,-1.4078,4.2922
18.89,77,373.19,236.97,8.89594,2.45,4.09594,13.5959
18.89,81,7.39,238.95,7.23076,2.95,3.13076,13.0308
18.89,82,193.67,240.04,0.677991,1.65,-1.02201,4.57799
18.89,83,66.84,243.8,1.52257,2.3,-0.77743,6.72257
18.89,84,146.8,244.51,1.34136,1.1,0.84136,5.34136
18.89,Untracked,207.71,245.63,0.613529,1.65,-1.38647,4.91353
18.89,Untracked,133.89,252.75,-0.624478,1.15,-1.02448,4.47552
18.89,86,327.38,253.54,-5.57751,1.9,-8.37751,-1.37751
18.89,87,290.55,258.12,-0.741903,1.2,-2.5419,2.1581
18.89,89,217.16,260.46,-1.40252,1.1,-2.70252,1.79748
18.89,90,205.34,262.58,0.0796348,1.55,-1.82037,3.77963
18.89,92,109.96,268.59,0.443736,1.5,-0.656264,5.04374
18.89,96,73.75,270.38,0.912129,2.1,-1.18787,5.81213
18.89,91,188.38,275.66,-2.10401,1.6,-3.60401,1.89599
18.89,94,20.68,275.8,3.7056,2.9,0.00559803,9.3056
18.89,93,295.61,277.63,-1.52212,1.05,-2.32212,1.47788
18.89,95,156.14,280.95,-0.616383,1.2,-1.41638,3.38362
18.89,97,270.52,281.03,2.0298,1.15,0.329795,4.8298
18.89,98,236.41,281.96,1.58635,1.3,-0.113648,4.88635
18.89,101,249.57,284.3,-2.69114,1.4,-4.79114,0.708862
18.89,103,114.77,286.51,0.139883,1.6,-1.06012,4.73988
18.89,99,336.21,286.56,7.87767,2,5.17767,12.0777
18.89,100,65.2,287.61,1.2305,2.3,-1.2695,6.3305
18.89,102,320.09,287.61,-4.77923,1.6,-6.27923,-0.879234
18.89,104,200.24,289.69,0.603185,1.65,-1.39681,4.40319
18.89,105,272.52,293.76,-0.432814,1.1,-1.93281,2.26719
18.89,Untracked,133.14,302.25,-0.301745,1.8,-1.70175,5.29825
18.89,109,284.63,304.38,-0.695437,1,-1.99544,1.90456
18.89,110,139.26,311.12,-4.19953,1.6,-5.79953,0.100469
18.89,108,116.58,311.93,-1.75241,1.85,-3.55241,2.94759
18.89,111,80.11,315.97,0.290564,2.4,-2.30944,5.59056
18.89,112,384.06,323.23,-2.20225,2.6,-7.20225,2.89775
18.89,113,64.89,324.82,0.442223,2.6,-2.65778,5.84222
18.89,114,350.37,325.99,-0.93497,2.1,-4.33497,3.56503
18.89,115,273.71,329.17,-2.81058,0.75,-3.61058,-0.51058
18.89,116,19.88,329.59,1.26962,3,-3.03038,7.16962
18.89,117,110.29,330.21,-1.9511,1.6,-3.5511,2.6489
18.89,119,48.93,333.18,0.572554,2.8,-3.02745,6.27255
18.89,118,216.01,333.28,1.50643,1.85,-1.29357,5.60643
18.89,120,163.08,338.82,-1.40921,1.05,-2.20921,2.09079
18.89,Untracked,174.22,339.91,-0.785666,1.15,-1.68567,3.21433
18.89,123,126.79,347.92,0.616902,1.75,-1.3831,5.2169
18.89,126,186.91,347.61,-1.47505,1.15,-2.37505,2.12495
18.89,122,61.32,348.86,-0.658745,2.65,-4.35874,4.84126
18.89,124,241.82,352.99,1.2259,1.9,-1.7741,5.6259
18.89,125,354.8,357.14,-0.0585706,2.5,-4.65857,5.04143
18.89,128,424.99,358.78,-3.04029,3.05,-9.14029,2.65971
18.89,127,399.62,359.92,7.19567,2.8,1.59567,12.2957
18.89,129,9.86,364.41,1.1703,3.1,-3.9297,7.1703
18.89,130,134.73,367.62,7.99604,2.1,4.79604,12.496
18.89,131,102.37,371.95,-2.63261,2.35,-6.23261,2.56739
18.89,132,183.5,371.75,-1.51516,1.65,-3.71516,2.48484
18.89,134,164.06,388.1,0.514895,2.1,-2.88511,5.21489
18.89,133,33.82,388.38,-1.78371,2.05,-4.08371,3.51629
18.89,136,103.22,390.81,2.14521,2.45,-1.95479,7.14521
18.89,135,396.37,391.15,0.581097,3,-5.2189,6.5811
18.89,Untracked,122.55,397.78,2.28771,3.3,-1.91229,9.98771
18.89,137,363.4,398.43,1.56829,2.9,-4.03171,7.26829
18.89,138,149.06,399.47,0.252026,2.35,-3.94797,5.05203
18.89,Untracked,111.15,403.63,1.54767,3.55,-2.95233,9.74767
18.89,140,164.55,405.09,-0.433097,2.35,-4.6331,4.5669
18.89,142,22.32,407.88,0.198308,2.55,-3.60169,5.89831
18.89,141,378.36,411.15,3.05193,3.05,-2.94807,8.95193
18.89,146,133.07,412.89,1.01399,2.65,-3.58601,6.51399
18.89,143,116.99,415.88,1.09533,2.8,-3.70467,6.69533
18.89,144,177.43,416.39,2.46959,2.4,-1.23041,7.96959
18.89,139,192.65,416.37,-0.589977,2.25,-4.38998,4.21002
18.89,Untracked,160.49,417.77,1.64526,3.1,-3.15474,8.84526
18.89,147,429.54,421.38,6.48757,3.25,-0.312435,12.2876
18.89,151,304.24,422.34,-6.68326,2.75,-11.6833,-0.883262
18.89,149,214.76,424.72,1.77039,2.65,-3.02961,7.27039
18.89,153,315.05,428.32,1.41453,2.85,-4.08547,7.11453
18.89,148,332,429.1,2.0349,2.95,-3.7651,7.7349
18.89,152,64.56,429.48,1.39415,2.7,-3.10585,6.79415
18.89,156,242.73,430.84,-1.68307,2.65,-6.58307,3.71693
18.89,158,97.48,433.25,-0.0892557,2.95,-5.38926,6.01074
18.89,155,142.99,434.87,0.909157,2.85,-4.29084,6.60916
18.89,157,385.62,438.12,2.72138,3.2,-3.57862,8.92138
18.89,150,292.06,439.75,13.0386,2.85,7.23857,18.0386
18.89,Untracked,412.28,440.53,5.9208,5.3,-3.5792,16.8208
18.89,Untracked,229.28,442.33,-11.7715,3.95,-17.8715,-2.57146
18.89,Untracked,266.98,442.37,15.1232,3.7,8.62319,22.8232
28.33,1,64.86,4.82,3.86696,2.75,-0.0330359,9.96696
28.33,3,179.72,6.16,-0.431811,2.25,-3.73181,4.56819
28.33,4,124.34,9.89,4.18361,2.35,1.18361,9.68361
28.33,0,262.17,10.69,7.72594,2.5,3.22594,12.7259
28.33,5,305.84,20.39,21.651,2.75,16.651,27.251
28.33,Untracked,100.35,24.75,6.73515,2.85,3.93515,14.9352
28.33,6,157.23,25.01,2.81069,2.15,0.310686,8.11069
28.33,7,248.97,30.64,0.75077,2.4,-3.04923,5.95077
28.33,8,145.71,36.49,1.52238,2,-0.577622,6.62238
28.33,12,85.24,40.36,2.30944,2.25,-0.390561,7.90944
28.33,10,11.46,42.08,3.39527,2.8,-1.00473,9.09527
28.33,9,259.06,43.12,-2.87838,2.35,-6.67838,2.32162
28.33,11,214.15,44.12,-2.19654,1.8,-4.59654,2.30346
28.33,13,108.96,47.26,-1.18375,2.05,-3.18375,4.21625
28.33,14,62.22,50.52,-0.46645,2.45,-3.46645,5.23355
28.33,15,23.37,53.09,6.34887,2.6,2.34887,11.6489
28.33,17,243.26,53.14,2.02959,2.25,-1.27041,7.12959
28.33,18,13.07,62.24,4.42019,2.65,0.220193,9.82019
28.33,19,229.87,63.48,-3.18347,2.05,-5.98347,1.81653
28.33,20,123.68,66.09,-0.733781,1.6,-2.03378,3.96622
28.33,21,317.85,73.23,9.19288,2.6,4.69288,14.6929
28.33,22,141.77,85.92,-3.18742,1,-3.68742,0.512582
28.33,25,252.35,90.37,3.12786,2,0.127863,7.82786
28.33,29,84.51,90.91,2.79542,1.9,0.895419,7.89542
28.33,24,20.36,91.49,-1.44286,2.25,-4.94286,3.55714
28.33,23,342.21,91.82,-3.51292,2.5,-7.81292,1.88708
28.33,Untracked,71.64,96.87,1.82532,2.5,-0.474684,9.42532
28.33,28,222.68,109.34,-1.5588,1.25,-2.7588,2.1412
28.33,26,129.71,110.66,0.0659532,0.95,-0.434047,3.66595
28.33,Untracked,70.53,111.67,-1.37278,2.6,-3.67278,6.42722
28.33,32,116.42,114.05,-3.28993,1.4,-4.18993,1.21007
28.33,34,82.01,114.33,0.698892,1.95,-1.30111,5.89889
28.33,31,41.93,116.65,-1.15169,2.45,-4.35169,4.54831
28.33,Untracked,434.81,119.25,3.57253,3.45,-1.82747,11.9725
28.33,30,24.45,123.78,-6.0322,2.6,-9.7322,-0.232204
28.33,33,195.59,127.1,-1.55056,0.9,-2.15056,1.64944
28.33,36,139.73,128.63,-3.83992,1.3,-4.83992,0.360083
28.33,37,101.12,132.08,-0.701103,1.65,-2.3011,4.0989
28.33,38,162.84,133.34,-1.72713,1.2,-2.92713,1.87287
28.33,41,19.03,138.52,5.60389,2.5,1.70389,11.1039
28.33,42,224.81,142.14,-0.931197,1.35,-2.5312,2.7688
28.33,40,266.63,142.61,1.75566,1.25,0.155656,5.05566
28.33,39,254.17,144.59,-8.10646,1.6,-10.4065,-4.10646
28.33,44,84.11,150.38,-0.0672769,2.05,-2.46728,5.13272
28.33,43,158.09,150.67,1.69323,1.45,0.093226,5.69323
28.33,45,208.81,151.8,2.03955,1.3,0.639548,5.63955
28.33,47,29.1,154.08,2.1162,2.4,-1.5838,7.5162
28.33,48,351.93,156.76,1.0368,2.4,-3.1632,6.2368
28.33,52,110.04,158.15,0.68728,1.9,-1.41272,5.68728
28.33,46,243.07,158.32,1.24439,1.65,-1.25561,5.24439
28.33,49,191.47,159.69,-2.39989,1.45,-3.99989,1.50011
28.33,51,332.46,159.6,1.21312,2.15,-2.68688,5.81312
28.33,55,217.56,160.24,1.4594,1.3,-0.140599,4.9594
28.33,53,42.69,163.2,0.835,2.45,-2.765,6.435
28.33,56,129.25,163.67,-0.207861,1.85,-2.30786,4.59214
28.33,Untracked,78.1,164.68,-0.686879,2.75,-3.58688,6.91312
28.33,54,260.8,166.71,1.7645,1.35,-0.0354954,5.1645
28.33,63,64.93,176.61,-1.80235,2.35,-5.10235,3.59765
28.33,58,206.48,177.21,-3.40044,1.65,-5.70044,0.699561
28.33,59,23.56,179.71,-5.56435,2.35,-8.16435,0.235647
28.33,61,37.05,182.22,1.06214,2.5,-2.83786,6.56214
28.33,57,246.5,183.21,-8.9709,1.8,-11.6709,-4.7709
28.33,Untracked,218.03,183.88,0.466121,1.9,-2.23388,5.36612
28.33,62,138.92,186.55,1.49393,1.8,-0.90607,5.99393
28.33,67,210.27,196.58,1.38424,1.85,-1.61576,5.58424
28.33,65,8.29,197.14,8.2229,2.7,3.6229,13.9229
28.33,66,226.53,197.24,4.37353,1.8,1.37353,8.37353
28.33,68,289.44,200.68,-6.11433,1.45,-7.81433,-2.41433
28.33,70,267.61,206.25,3.24028,1.4,1.74028,6.94028
28.33,69,104.81,209.02,-1.68727,2.15,-4.58727,3.51273
28.33,71,58.33,209.58,3.95669,2.25,1.55669,9.55669
28.33,72,199.53,210.09,1.42609,1.9,-1.67391,5.82609
28.33,73,122.12,216.35,3.41554,2.1,0.615541,8.41554
28.33,74,180.52,223.93,1.64505,1.95,-1.05495,6.14505
28.33,75,95.98,227.89,-10.7611,2.2,-13.4611,-5.46108
28.33,76,335.58,230.77,2.62328,2.15,-0.876718,7.32328
28.33,78,314.18,234.48,3.42303,1.85,0.523032,7.62303
28.33,80,110.98,235.06,-2.34362,2.2,-4.74362,3.05638
28.33,79,259.83,235.67,2.66983,1.7,-0.230165,6.26983
28.33,77,372.19,235.73,8.18847,2.35,3.88847,13.0885
28.33,81,8.02,238.42,7.08869,2.9,1.88869,12.8887
28.33,82,192.93,238.39,0.761487,1.95,-1.93851,5.26149
28.33,Untracked,208.89,242.35,-0.0927642,2,-2.89276,5.10724
28.33,83,65.99,243.39,1.54083,2.45,-2.05917,7.24083
28.33,84,145.31,246.83,0.746994,1.5,-0.453006,5.34699
28.33,86,327.86,252.67,-4.85634,1.9,-7.35634,-0.356342
